name,deltaG,SMILES
pubchem_1976,-10.53,CCc1nc(-c2cccc(NC(=O)N3CCN(Cc4ccco4)CC3)c2)n[nH]1
pubchem_120,-10.52,CCOc1ccccc1NC(=O)CSc1nnc(Cc2ccccc2)n1CC
pubchem_602,-10.52,O=C(c1nc(C2CC2)n(-c2ccccc2)n1)N1CCOc2ccccc21
pubchem_731,-10.52,CCn1c(COc2cccc(C)c2)nnc1SCC(=O)Nc1ccccc1
pubchem_1258,-10.52,Cc1nc(-c2cccc(NC(=O)COc3cccc(NC(=O)C4CC4)c3)c2)n[nH]1
pubchem_1271,-10.52,CC(C)CCOc1ccc(NCc2nc(Cc3ccccc3)no2)cc1
pubchem_2007,-10.52,COc1ccccc1NC(=O)c1nc(-c2ccc(C)cc2)n(-c2ccccc2C)n1
pubchem_154,-10.51,CCCOc1ccccc1NC(=O)CSc1nnc(C)n1Cc1ccccc1
pubchem_802,-10.51,CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1cc(C)ccc1OC
pubchem_853,-10.51,COc1ccccc1NC(=O)CSc1nnc(C)n1CCc1ccccc1
pubchem_1537,-10.51,Cc1ccc(Oc2ccc(NC(=O)N3CCC(c4ncn[nH]4)CC3)cc2)cc1
pubchem_201,-10.5,CCc1ccccc1NC(=O)CSc1n[nH]c(COc2c(C)cccc2C)n1
pubchem_368,-10.5,Cc1ccc(OCC(=O)NCc2nnnn2-c2ccc(C)cc2)cc1
pubchem_418,-10.5,CCOc1ccc(CC(=O)NCc2nnnn2-c2ccccc2)cc1
pubchem_774,-10.5,CC(C)(C)c1ccccc1OCC(=O)NCc1nncn1-c1ccccc1
pubchem_806,-10.5,CCOc1ccc(NC(=O)CSc2nnc(CCc3ccccc3)n2C)cc1
pubchem_924,-10.5,COc1ccccc1NC(=O)Cc1noc(CN2CCCc3ccccc32)n1
pubchem_1191,-10.5,O=c1[nH]c2ccccc2cc1-c1nc(COc2ccccc2)nn1CCO
pubchem_81,-10.49,COc1ccc(C)cc1NC(=O)CNc1cccc(-c2nnnn2C2CC2)c1
pubchem_151,-10.49,CCOc1ccc(-n2nnnc2CNC(=O)COc2cccc(C)c2)cc1
pubchem_1215,-10.49,Cc1ccccc1OCc1nc(SCC(=O)Nc2ccc(C(C)C)cc2)n[nH]1
pubchem_1423,-10.49,CCOc1ccc(-n2c(C)nnc2SCC(=O)NCc2ccccc2)cc1
pubchem_928,-10.48,CCOc1ccccc1N1CCN(Cc2nc(Cc3cccc(F)c3)no2)CC1
pubchem_943,-10.48,CCOc1ccccc1CCC(=O)Nc1cccc(-c2n[nH]c(C)n2)c1
pubchem_326,-10.47,CCc1ccc(OCc2nc(SCC(=O)Nc3cc(C)ccc3C)n[nH]2)cc1
pubchem_591,-10.47,CC(=O)Nc1ccccc1OCc1noc(C(=O)NCCc2ccccc2)n1
pubchem_795,-10.47,Cc1cccc(OCCCC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)c1
pubchem_827,-10.47,CCOc1ccccc1NC(=O)CSc1nnc(C)n1-c1ccccc1C
pubchem_897,-10.47,CCOc1ccccc1NC(=O)NCCc1n[nH]c(Cc2ccc(C)cc2)n1
pubchem_1308,-10.46,CCCOc1cccc(CC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_2035,-10.46,CCc1nc(SCC(=O)Nc2ccccc2Oc2ccc(C)cc2)n[nH]1
pubchem_152,-10.45,CC(=O)Oc1ccccc1NC(=O)NCc1nnnn1-c1ccc(C)cc1
pubchem_179,-10.45,Cc1ccc(NC(=O)CSc2nnc(COc3ccccc3)n2C)cc1
pubchem_196,-10.45,CCOc1ccc(-n2nnnc2CNC(=O)Cc2ccccc2)cc1
pubchem_409,-10.45,Cc1ccc(C)c(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c1
pubchem_1491,-10.45,COc1ccccc1NC(=O)Nc1cccc(-c2nnc3n2CCCC3)c1
pubchem_2004,-10.45,CCCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1ccccc1OC
